symbol;block_date;category;contract_size;days_to_maturity;due_date;exchange_id;isin;market_maker;maturity_type;name;strike;updated_at;close;created_at;financial_volume;high;low;open;variation;volume;cnpj;ask;bid;quotationForm;security_category;spot_price;trades;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;warning;lastUpdatedDividendsAt
BRKMS155;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRKM5S0GK9;False;EUROPEAN;BRASKEM PNA, R$ 15.50, 19-07-2024;15.5;2024-06-22T10:18:38.922Z;0.11;2024-06-22T10:18:38.922Z;0;0.0;0.0;0.0;0.0;0;42150391000170;0.09;0.04;;7;17.95;0;300;4400;1719244079000;PUT;1719216327000;15.5;;
BRKMG165;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRKM5G0G41;False;AMERICAN;BRASKEM PNA, R$ 16.50, 19-07-2024;16.5;2024-06-22T10:18:38.375Z;0.0;2024-06-22T10:18:38.375Z;0;0.0;0.0;0.0;0.0;0;42150391000170;0.0;0.0;;7;17.95;0;0;0;1719234000000;CALL;1688582413000;16.5;;
BRKMS165;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRKM5S0GJ1;False;EUROPEAN;BRASKEM PNA, R$ 16.50, 19-07-2024;16.5;2024-06-22T10:18:38.922Z;0.18;2024-06-22T10:18:38.922Z;87;0.18;0.17;0.17;-18.182;500;42150391000170;0.22;0.18;;7;17.95;0;3100;1000;1719244886000;PUT;1719244317000;16.5;;
BRKMG170;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRKM5G0FX8;False;AMERICAN;BRASKEM PNA, R$ 17.00, 19-07-2024;17.0;2024-06-22T10:18:38.376Z;1.28;2024-06-22T10:18:38.376Z;0;0.0;0.0;0.0;0.0;0;42150391000170;0.0;1.0;;7;17.95;0;100;0;1719244077000;CALL;1718740248000;17.0;;
BRKMS170;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRKM5S0FU0;True;EUROPEAN;BRASKEM PNA, R$ 17.00, 19-07-2024;17.0;2024-06-22T10:18:38.923Z;0.34;2024-06-22T10:18:38.923Z;14867;0.4;0.32;0.35;-2.857;41700;42150391000170;0.37;0.33;;7;17.86;0;4200;4200;1719244907000;PUT;1719243211000;17.0;;
BRKMG175;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRKM5G0GY4;True;AMERICAN;BRASKEM PNA, R$ 17.50, 19-07-2024;17.5;2024-06-22T10:18:38.376Z;1.07;2024-06-22T10:18:38.376Z;14818;1.23;1.04;1.04;-10.833;13200;;1.05;1.0;;7;17.89;0;10000;2700;1719245011000;CALL;1719241125000;17.5;;
BRKMS175;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRKM5S0GY0;True;EUROPEAN;BRASKEM PNA, R$ 17.50, 19-07-2024;17.5;2024-06-22T10:18:38.923Z;0.5;2024-06-22T10:18:38.923Z;6623;0.55;0.47;0.55;-5.66;12600;;0.56;0.51;;7;17.94;0;3800;10000;1719245159000;PUT;1719238869000;17.5;;
BRKMG180;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRKM5G0G09;True;AMERICAN;BRASKEM PNA, R$ 18.00, 19-07-2024;18.0;2024-06-22T10:18:38.376Z;0.77;2024-06-22T10:18:38.376Z;13561;0.9;0.75;0.88;-14.444;16100;42150391000170;0.79;0.75;;7;17.86;0;5000;3000;1719245009000;CALL;1719245009000;18.0;;
BRKMS180;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRKM5S0FY2;True;EUROPEAN;BRASKEM PNA, R$ 18.00, 19-07-2024;18.0;2024-06-22T10:18:38.922Z;0.72;2024-06-22T10:18:38.922Z;34938;0.78;0.69;0.78;-5.263;47100;42150391000170;0.79;0.74;;7;17.95;0;10000;10000;1719245238000;PUT;1719241459000;18.0;;
BRKMG185;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRKM5G0GH9;True;AMERICAN;BRASKEM PNA, R$ 18.50, 19-07-2024;18.5;2024-06-22T10:18:38.376Z;0.56;2024-06-22T10:18:38.376Z;15521;0.69;0.55;0.62;-13.846;25700;42150391000170;0.57;0.54;;7;17.89;0;2000;3000;1719244852000;CALL;1719244330000;18.5;;
