symbol;block_date;category;contract_size;days_to_maturity;due_date;exchange_id;isin;market_maker;maturity_type;name;strike;updated_at;close;created_at;financial_volume;high;low;open;variation;volume;ask;bid;quotationForm;security_category;spot_price;trades;cnpj;lastUpdatedDividendsAt;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;warning
SBSPS705;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRSBSP3S0CC1;False;EUROPEAN;SABESP ON, R$ 69.28, 19-07-2024;69.28;2024-06-22T10:18:38.350Z;0.8;2024-06-22T10:18:38.350Z;6531;0.87;0.77;0.84;-39.394;7700;0.85;0.79;;7;74.85;0;;;800;800;1719245280000;PUT;1719245196000;69.28;
SBSPG715;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRSBSP3G0CP7;False;AMERICAN;SABESP ON, R$ 70.28, 19-07-2024;70.28;2024-06-22T10:18:38.837Z;9.2;2024-06-22T10:18:38.837Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;74.85;0;;;0;0;1719234000000;CALL;1717614312000;70.28;
SBSPS715;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRSBSP3S0CL2;True;EUROPEAN;SABESP ON, R$ 70.28, 19-07-2024;70.28;2024-06-22T10:18:38.350Z;0.96;2024-06-22T10:18:38.350Z;12302;1.24;0.93;1.19;-35.57;11100;1.0;0.94;;7;77.18;0;;;800;800;1719245280000;PUT;1719245127000;70.28;
SBSPG720;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRSBSP3G0BV7;False;EUROPEAN;SABESP ON, R$ 70.78, 19-07-2024;70.78;2024-06-22T10:18:38.837Z;4.27;2024-06-22T10:18:38.837Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;74.85;0;43776517000180;2024-04-27T01:30:23.769Z;0;0;1719234000000;CALL;1718901923000;70.78;
SBSPS720;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRSBSP3S0BV3;True;EUROPEAN;SABESP ON, R$ 70.78, 19-07-2024;70.78;2024-06-22T10:18:38.350Z;1.08;2024-06-22T10:18:38.350Z;31170;1.29;1.08;1.25;-33.742;25500;1.09;1.03;;7;74.85;0;43776517000180;2024-04-27T01:30:23.769Z;800;800;1719245151000;PUT;1719241795000;70.78;
SBSPG725;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRSBSP3G0BP9;True;AMERICAN;SABESP ON, R$ 71.28, 19-07-2024;71.28;2024-06-22T10:18:38.837Z;5.92;2024-06-22T10:18:38.837Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;74.85;0;43776517000180;2024-04-27T01:30:23.769Z;0;0;1719241639000;CALL;1719216363000;71.28;
SBSPS725;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRSBSP3S0BP5;False;EUROPEAN;SABESP ON, R$ 71.28, 19-07-2024;71.28;2024-06-22T10:18:38.350Z;1.13;2024-06-22T10:18:38.350Z;6337;1.41;1.12;1.35;-33.529;5200;1.18;1.12;;7;77.2;0;43776517000180;2024-04-27T01:30:23.769Z;500;800;1719245281000;PUT;1719243815000;71.28;
SBSPG735;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRSBSP3G0CL6;True;AMERICAN;SABESP ON, R$ 72.28, 19-07-2024;72.28;2024-06-22T10:18:38.835Z;5.2;2024-06-22T10:18:38.835Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;74.85;0;;;0;0;1719234000000;CALL;1719216370000;72.28;
SBSPS735;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRSBSP3S0CP3;True;EUROPEAN;SABESP ON, R$ 72.28, 19-07-2024;72.28;2024-06-22T10:18:38.349Z;1.37;2024-06-22T10:18:38.349Z;124856;1.67;1.32;1.67;-35.071;82900;1.4;1.32;;7;74.85;0;;;3900;3900;1719245281000;PUT;1719241648000;72.28;
SBSPG740;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRSBSP3G0BQ7;False;EUROPEAN;SABESP ON, R$ 72.78, 19-07-2024;72.78;2024-06-22T10:18:38.835Z;2.77;2024-06-22T10:18:38.835Z;0;0.0;0.0;0.0;0.0;0;0.0;4.28;;7;74.85;0;43776517000180;2024-04-27T01:30:23.769Z;3100;0;1719243028000;CALL;1718907959000;72.78;
SBSPS740;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRSBSP3S0BQ3;True;EUROPEAN;SABESP ON, R$ 72.78, 19-07-2024;72.78;2024-06-22T10:18:38.349Z;1.46;2024-06-22T10:18:38.349Z;3591;1.8;1.45;1.8;-30.476;2300;1.52;1.44;;7;77.22;0;43776517000180;2024-04-27T01:30:23.769Z;3300;3300;1719245211000;PUT;1719242989000;72.78;
SBSPG745;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRSBSP3G0CQ5;True;AMERICAN;SABESP ON, R$ 73.28, 19-07-2024;73.28;2024-06-22T10:18:38.835Z;5.68;2024-06-22T10:18:38.835Z;32164;5.68;5.48;5.48;24.835;5800;6.04;5.93;;7;76.81;0;;;10000;10000;1719245315000;CALL;1719239119000;73.28;
SBSPS745;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRSBSP3S0CR9;False;EUROPEAN;SABESP ON, R$ 73.28, 19-07-2024;73.28;2024-06-22T10:18:38.349Z;1.58;2024-06-22T10:18:38.349Z;1424;1.62;1.55;1.62;-55.493;900;1.68;1.52;;7;77.11;0;;;3400;3400;1719245055000;PUT;1719243029000;73.28;
SBSPG750;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRSBSP3G0BM6;False;EUROPEAN;SABESP ON, R$ 73.78, 19-07-2024;73.78;2024-06-22T10:18:38.836Z;2.39;2024-06-22T10:18:38.836Z;0;0.0;0.0;0.0;0.0;0;7.64;3.56;;7;74.85;0;43776517000180;2024-04-27T01:30:23.769Z;3100;3100;1719245008000;CALL;1718730943000;73.78;
SBSPS750;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRSBSP3S0BM2;False;EUROPEAN;SABESP ON, R$ 73.78, 19-07-2024;73.78;2024-06-22T10:18:38.349Z;1.75;2024-06-22T10:18:38.349Z;3499;2.0;1.72;2.0;-54.545;1900;1.77;1.7;;7;77.15;0;43776517000180;2024-04-27T01:30:23.769Z;800;600;1719245280000;PUT;1719243467000;73.78;
SBSPG755;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRSBSP3G0CN2;True;AMERICAN;SABESP ON, R$ 74.28, 19-07-2024;74.28;2024-06-22T10:18:38.836Z;5.25;2024-06-22T10:18:38.836Z;120529;5.29;4.71;4.99;66.667;23900;5.32;5.24;;7;74.85;0;;;10000;10000;1719245315000;CALL;1719243027000;74.28;
SBSPS755;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRSBSP3S0CQ1;False;EUROPEAN;SABESP ON, R$ 74.28, 19-07-2024;74.28;2024-06-22T10:18:38.350Z;2.7;2024-06-22T10:18:38.350Z;0;0.0;0.0;0.0;0.0;0;2.5;0.56;;7;74.85;0;;;100;200;1719242269000;PUT;1719216370000;74.28;
SBSPG765;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRSBSP3G0CJ0;True;AMERICAN;SABESP ON, R$ 75.28, 19-07-2024;75.28;2024-06-22T10:18:38.836Z;4.56;2024-06-22T10:18:38.836Z;213912;4.69;4.01;4.48;30.659;48200;4.66;4.58;;7;77.2;0;;;200;10000;1719245315000;CALL;1719242975000;75.28;
SBSPS765;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRSBSP3S0CB3;False;EUROPEAN;SABESP ON, R$ 75.28, 19-07-2024;75.28;2024-06-22T10:18:38.350Z;2.25;2024-06-22T10:18:38.350Z;99043;2.65;2.19;2.5;-29.907;42700;2.25;2.2;;7;77.08;0;;;900;3300;1719245315000;PUT;1719242854000;75.28;
SBSPG775;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRSBSP3G0BY1;False;AMERICAN;SABESP ON, R$ 76.28, 19-07-2024;76.28;2024-06-22T10:18:38.835Z;3.93;2024-06-22T10:18:38.835Z;32772;3.96;3.54;3.85;40.357;8800;4.04;3.95;;7;77.17;0;43776517000180;2024-04-27T01:30:23.769Z;3100;10000;1719245315000;CALL;1719245074000;76.28;
SBSPS775;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRSBSP3S0BY7;False;EUROPEAN;SABESP ON, R$ 76.28, 19-07-2024;76.28;2024-06-22T10:18:38.348Z;3.5;2024-06-22T10:18:38.348Z;0;0.0;0.0;0.0;0.0;0;3.3;0.0;;7;74.85;0;43776517000180;2024-04-27T01:30:23.769Z;0;200;1719244011000;PUT;1719216366000;76.28;
SBSPG785;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRSBSP3G0BX3;False;AMERICAN;SABESP ON, R$ 77.28, 19-07-2024;77.28;2024-06-22T10:18:38.835Z;3.27;2024-06-22T10:18:38.835Z;22393;3.27;3.08;3.22;31.855;7000;3.47;3.37;;7;74.85;0;43776517000180;2024-04-27T01:30:23.769Z;3100;10000;1719245310000;CALL;1719239908000;77.28;
SBSPS785;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRSBSP3S0BX9;False;EUROPEAN;SABESP ON, R$ 77.28, 19-07-2024;77.28;2024-06-22T10:18:38.348Z;4.35;2024-06-22T10:18:38.348Z;0;0.0;0.0;0.0;0.0;0;4.35;1.67;;7;74.85;0;43776517000180;2024-04-27T01:30:23.769Z;100;500;1719241200000;PUT;1719216366000;77.28;
SBSPG795;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRSBSP3G0CD3;False;AMERICAN;SABESP ON, R$ 78.28, 19-07-2024;78.28;2024-06-22T10:18:38.835Z;2.78;2024-06-22T10:18:38.835Z;59939;2.78;2.38;2.38;42.564;23900;2.95;2.81;;7;77.05;0;;;400;400;1719245150000;CALL;1719241817000;78.28;
