symbol;name;open;high;low;close;volume;financial_volume;trades;bid;ask;category;due_date;maturity_type;strike;contract_size;exchange_id;created_at;updated_at;variation;spot_price;isin;security_category;market_maker;block_date;days_to_maturity;quotationForm;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;cnpj;warning;quotation_form
BBASF240W4;BRASIL ON, R$ 23.42, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;23.42;100;BOVESPA;2024-06-22T10:18:38.908Z;2024-06-22T10:18:38.908Z;0.0;26.61;BRBBAS3F11B2;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;23.42;;;
BBASR240W4;BRASIL ON, R$ 23.42, 28-06-2024;0.0;0.0;0.0;0.01;0;0;0;0.0;0.5;PUT;2024-06-28;EUROPEAN;23.42;100;BOVESPA;2024-06-22T10:18:38.999Z;2024-06-22T10:18:38.999Z;0.0;26.61;BRBBAS3R1156;7;False;2024-06-27;4;;0;100;1719244077000;PUT;1718890646000;23.42;;;
BBASF245W4;BRASIL ON, R$ 23.92, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;23.92;100;BOVESPA;2024-06-22T10:18:38.905Z;2024-06-22T10:18:38.905Z;0.0;26.61;BRBBAS3F10O7;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;23.92;;;
BBASR245W4;BRASIL ON, R$ 23.92, 28-06-2024;0.0;0.0;0.0;0.01;0;0;0;0.0;0.04;PUT;2024-06-28;EUROPEAN;23.92;100;BOVESPA;2024-06-22T10:18:38.894Z;2024-06-22T10:18:38.894Z;0.0;26.61;BRBBAS3R11C5;7;False;2024-06-27;4;;0;500;1719244077000;PUT;1718892001000;23.92;;;
BBASF250W4;BRASIL ON, R$ 24.42, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;24.42;100;BOVESPA;2024-06-22T10:18:38.400Z;2024-06-22T10:18:38.400Z;0.0;26.61;BRBBAS3F11C0;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;24.42;;;
BBASR250W4;BRASIL ON, R$ 24.42, 28-06-2024;0.0;0.0;0.0;0.02;0;0;0;0.0;0.25;PUT;2024-06-28;EUROPEAN;24.42;100;BOVESPA;2024-06-22T10:18:38.500Z;2024-06-22T10:18:38.500Z;0.0;26.61;BRBBAS3R1123;7;False;2024-06-27;4;;0;1400;1719244077000;PUT;1718721253000;24.42;;;
BBASF255W4;BRASIL ON, R$ 24.92, 28-06-2024;0.0;0.0;0.0;1.52;0;0;0;1.61;0.0;CALL;2024-06-28;AMERICAN;24.92;100;BOVESPA;2024-06-22T10:18:38.379Z;2024-06-22T10:18:38.379Z;0.0;26.61;BRBBAS3F11G1;7;False;2024-06-27;4;;1000;0;1719244077000;CALL;1718895952000;24.92;;;
BBASR255W4;BRASIL ON, R$ 24.92, 28-06-2024;0.0;0.0;0.0;0.02;0;0;0;0.0;0.01;PUT;2024-06-28;EUROPEAN;24.92;100;BOVESPA;2024-06-22T10:18:38.328Z;2024-06-22T10:18:38.328Z;0.0;26.61;BRBBAS3R1107;7;False;2024-06-27;4;;0;2600;1719244077000;PUT;1718908576000;24.92;;;
BBASF260W4;BRASIL ON, R$ 25.42, 28-06-2024;0.0;0.0;0.0;1.1;0;0;0;1.09;0.0;CALL;2024-06-28;AMERICAN;25.42;100;BOVESPA;2024-06-22T10:18:38.598Z;2024-06-22T10:18:38.598Z;0.0;26.61;BRBBAS3F10Z3;7;False;2024-06-27;4;;1000;0;1719244077000;CALL;1719216335000;25.42;;;
BBASR260W4;BRASIL ON, R$ 25.42, 28-06-2024;0.0;0.0;0.0;0.02;0;0;0;0.0;0.02;PUT;2024-06-28;EUROPEAN;25.42;100;BOVESPA;2024-06-22T10:18:38.667Z;2024-06-22T10:18:38.667Z;0.0;26.61;BRBBAS3R10O2;7;True;2024-06-27;4;;0;13700;1719244077000;PUT;1719216335000;25.42;;;
BBASF265W4;BRASIL ON, R$ 25.92, 28-06-2024;0.97;0.97;0.97;0.97;100;97;0;0.89;0.97;CALL;2024-06-28;AMERICAN;25.92;100;BOVESPA;2024-06-22T10:18:38.576Z;2024-06-22T10:18:38.576Z;44.776;26.61;BRBBAS3F1192;7;True;2024-06-27;4;;800;800;1719245160000;CALL;1719239290000;25.92;;;
BBASR265W4;BRASIL ON, R$ 25.92, 28-06-2024;0.0;0.0;0.0;0.07;0;0;0;0.02;0.04;PUT;2024-06-28;EUROPEAN;25.92;100;BOVESPA;2024-06-22T10:18:38.689Z;2024-06-22T10:18:38.689Z;0.0;26.61;BRBBAS3R10K0;7;True;2024-06-27;4;;13700;13700;1719244158000;PUT;1719216335000;25.92;;;
BBASF270W4;BRASIL ON, R$ 26.42, 28-06-2024;0.4;0.6;0.4;0.6;11800;6657;0;0.46;0.53;CALL;2024-06-28;AMERICAN;26.42;100;BOVESPA;2024-06-22T10:18:38.616Z;2024-06-22T10:18:38.616Z;66.667;26.61;BRBBAS3F10P4;7;True;2024-06-27;4;;800;800;1719245161000;CALL;1719240998000;26.42;;;
BBASR270W4;BRASIL ON, R$ 26.42, 28-06-2024;0.05;0.09;0.05;0.09;35400;2973;0;0.07;0.1;PUT;2024-06-28;EUROPEAN;26.42;100;BOVESPA;2024-06-22T10:18:38.824Z;2024-06-22T10:18:38.824Z;-40.0;26.82;BRBBAS3R10Z8;7;True;2024-06-27;4;;13500;13500;1719244834000;PUT;1719242433000;26.42;;;
BBASF275W4;BRASIL ON, R$ 26.92, 28-06-2024;0.2;0.3;0.17;0.17;30700;6284;0;0.16;0.18;CALL;2024-06-28;AMERICAN;26.92;100;BOVESPA;2024-06-22T10:18:38.782Z;2024-06-22T10:18:38.782Z;41.667;26.8;BRBBAS3F10S8;7;True;2024-06-27;4;;800;100;1719244906000;CALL;1719243871000;26.92;;;
BBASR275W4;BRASIL ON, R$ 26.92, 28-06-2024;0.27;0.27;0.17;0.21;13400;3006;0;0.23;0.28;PUT;2024-06-28;EUROPEAN;26.92;100;BOVESPA;2024-06-22T10:18:38.840Z;2024-06-22T10:18:38.840Z;-41.667;26.93;BRBBAS3R11D3;7;True;2024-06-27;4;;800;3600;1719245161000;PUT;1719241188000;26.92;;;
BBASF280W4;BRASIL ON, R$ 27.42, 28-06-2024;0.05;0.1;0.04;0.04;74800;4578;0;0.03;0.05;CALL;2024-06-28;AMERICAN;27.42;100;BOVESPA;2024-06-22T10:18:38.830Z;2024-06-22T10:18:38.830Z;100.0;26.77;BRBBAS3F1127;7;True;2024-06-27;4;;13700;100;1719244524000;CALL;1719244524000;27.42;;;
BBASR280W4;BRASIL ON, R$ 27.42, 28-06-2024;0.0;0.0;0.0;0.89;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;27.42;100;BOVESPA;2024-06-22T10:18:38.975Z;2024-06-22T10:18:38.975Z;0.0;26.61;BRBBAS3R10G8;7;False;2024-06-27;4;;0;0;1719244824000;PUT;1719216335000;27.42;;;
BBASF285W4;BRASIL ON, R$ 27.92, 28-06-2024;0.02;0.02;0.02;0.02;14400;288;0;0.0;0.02;CALL;2024-06-28;AMERICAN;27.92;100;BOVESPA;2024-06-22T10:18:38.809Z;2024-06-22T10:18:38.809Z;0.0;26.95;BRBBAS3F1168;7;True;2024-06-27;4;;0;13700;1719244077000;CALL;1719238459000;27.92;;;
BBASR285W4;BRASIL ON, R$ 27.92, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;27.92;100;BOVESPA;2024-06-22T10:18:38.987Z;2024-06-22T10:18:38.987Z;0.0;26.61;BRBBAS3R10Y1;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;27.92;;;
BBASF290W4;BRASIL ON, R$ 28.42, 28-06-2024;0.01;0.01;0.01;0.01;20100;201;0;0.0;0.03;CALL;2024-06-28;AMERICAN;28.42;100;BOVESPA;2024-06-22T10:18:38.986Z;2024-06-22T10:18:38.986Z;0.0;26.9;BRBBAS3F10N9;7;False;2024-06-27;4;;0;100;1719244077000;CALL;1719237903000;28.42;;;
BBASR290W4;BRASIL ON, R$ 28.42, 28-06-2024;0.0;0.0;0.0;2.06;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;28.42;100;BOVESPA;2024-06-22T10:18:38.430Z;2024-06-22T10:18:38.430Z;0.0;26.61;BRBBAS3R10R5;7;False;2024-06-27;4;;0;0;1719234000000;PUT;1718717540000;28.42;;;
BBASF295W4;BRASIL ON, R$ 28.92, 28-06-2024;0.0;0.0;0.0;0.01;0;0;0;0.0;0.02;CALL;2024-06-28;AMERICAN;28.92;100;BOVESPA;2024-06-22T10:18:38.959Z;2024-06-22T10:18:38.959Z;0.0;26.61;BRBBAS3F10M1;7;False;2024-06-27;4;;0;1000;1719244077000;CALL;1718288019000;28.92;;;
BBASR295W4;BRASIL ON, R$ 28.92, 28-06-2024;0.0;0.0;0.0;2.37;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;28.92;100;BOVESPA;2024-06-22T10:18:38.461Z;2024-06-22T10:18:38.461Z;0.0;26.61;BRBBAS3R1115;7;False;2024-06-27;4;;0;0;1719234000000;PUT;1719216335000;28.92;;;
BBASF300W4;BRASIL ON, R$ 29.42, 28-06-2024;0.0;0.0;0.0;0.01;0;0;0;0.0;0.02;CALL;2024-06-28;AMERICAN;29.42;100;BOVESPA;2024-06-22T10:18:38.986Z;2024-06-22T10:18:38.986Z;0.0;26.61;BRBBAS3F1143;7;False;2024-06-27;4;;0;100;1719244077000;CALL;1718125098000;29.42;;;
BBASR300W4;BRASIL ON, R$ 29.42, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;29.42;100;BOVESPA;2024-06-22T10:18:38.430Z;2024-06-22T10:18:38.430Z;0.0;26.61;BRBBAS3R10P9;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;29.42;;;
BBASF305W4;BRASIL ON, R$ 29.92, 28-06-2024;0.0;0.0;0.0;0.01;0;0;0;0.0;0.02;CALL;2024-06-28;AMERICAN;29.92;100;BOVESPA;2024-06-22T10:18:38.959Z;2024-06-22T10:18:38.959Z;0.0;26.61;BRBBAS3F10L3;7;False;2024-06-27;4;;0;100;1719244077000;CALL;1717787657000;29.92;;;
BBASR305W4;BRASIL ON, R$ 29.92, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;29.92;100;BOVESPA;2024-06-22T10:18:38.434Z;2024-06-22T10:18:38.434Z;0.0;26.61;BRBBAS3R1198;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;29.92;;;
BBASF310W4;BRASIL ON, R$ 30.42, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;30.42;100;BOVESPA;2024-06-22T10:18:38.476Z;2024-06-22T10:18:38.476Z;0.0;26.61;BRBBAS3F11E6;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;30.42;;;
BBASR310W4;BRASIL ON, R$ 30.42, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;30.42;100;BOVESPA;2024-06-22T10:18:38.391Z;2024-06-22T10:18:38.391Z;0.0;26.61;BRBBAS3R10Q7;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;30.42;;;
BBASF315W4;BRASIL ON, R$ 30.92, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;30.92;100;BOVESPA;2024-06-22T10:18:38.432Z;2024-06-22T10:18:38.432Z;0.0;26.61;BRBBAS3F10U4;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;30.92;;;
BBASR315W4;BRASIL ON, R$ 30.92, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;30.92;100;BOVESPA;2024-06-22T10:18:38.625Z;2024-06-22T10:18:38.625Z;0.0;26.61;BRBBAS3R10I4;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;30.92;;;
BBASF320W4;BRASIL ON, R$ 31.42, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;31.42;100;BOVESPA;2024-06-22T10:18:38.692Z;2024-06-22T10:18:38.692Z;0.0;26.61;BRBBAS3F1119;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;31.42;;;
BBASR320W4;BRASIL ON, R$ 31.42, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;31.42;100;BOVESPA;2024-06-22T10:18:38.572Z;2024-06-22T10:18:38.572Z;0.0;26.61;BRBBAS3R10L8;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;31.42;;;
BBASF325W4;BRASIL ON, R$ 31.92, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;1.0;CALL;2024-06-28;AMERICAN;31.92;100;BOVESPA;2024-06-22T10:18:38.682Z;2024-06-22T10:18:38.682Z;0.0;26.61;BRBBAS3F10X8;7;False;2024-06-27;4;;0;7400;1719244077000;CALL;-62167294412000;31.92;;;
BBASR325W4;BRASIL ON, R$ 31.92, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;31.92;100;BOVESPA;2024-06-22T10:18:38.811Z;2024-06-22T10:18:38.811Z;0.0;26.61;BRBBAS3R10V7;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;31.92;;;
BBASF330W4;BRASIL ON, R$ 32.42, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;32.42;100;BOVESPA;2024-06-22T10:18:38.728Z;2024-06-22T10:18:38.728Z;0.0;26.61;BRBBAS3F1101;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;32.42;;;
