symbol;name;open;high;low;close;volume;financial_volume;trades;bid;ask;category;due_date;maturity_type;strike;contract_size;exchange_id;created_at;updated_at;variation;spot_price;isin;security_category;market_maker;block_date;days_to_maturity;quotationForm;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;cnpj;warning
ELETG275;ELETROBRAS ON, R$ 27.10, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;27.1;100;BOVESPA;2024-06-22T10:18:39.008Z;2024-06-22T10:18:39.008Z;0.0;34.69;BRELET3G0I55;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1688582413000;27.1;;
ELETS275;ELETROBRAS ON, R$ 27.10, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-07-19;EUROPEAN;27.1;100;BOVESPA;2024-06-22T10:18:38.847Z;2024-06-22T10:18:38.847Z;0.0;34.69;BRELET3S0I35;7;False;2024-07-18;19;;0;0;1719234000000;PUT;1688582413000;27.1;;
ELETG280;ELETROBRAS ON, R$ 27.60, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;27.6;100;BOVESPA;2024-06-22T10:18:39.007Z;2024-06-22T10:18:39.007Z;0.0;34.69;BRELET3G0I22;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1688582413000;27.6;;
ELETS280;ELETROBRAS ON, R$ 27.60, 19-07-2024;0.0;0.0;0.0;0.03;0;0;0;0.0;0.0;PUT;2024-07-19;EUROPEAN;27.6;100;BOVESPA;2024-06-22T10:18:38.844Z;2024-06-22T10:18:38.844Z;0.0;34.69;BRELET3S0I50;7;False;2024-07-18;19;;0;0;1719234000000;PUT;1717513412000;27.6;;
ELETG285;ELETROBRAS ON, R$ 28.10, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;28.1;100;BOVESPA;2024-06-22T10:18:39.007Z;2024-06-22T10:18:39.007Z;0.0;34.69;BRELET3G0I48;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1688582413000;28.1;;
ELETS285;ELETROBRAS ON, R$ 28.10, 19-07-2024;0.02;0.02;0.02;0.02;6800;136;0;0.0;0.0;PUT;2024-07-19;EUROPEAN;28.1;100;BOVESPA;2024-06-22T10:18:38.844Z;2024-06-22T10:18:38.844Z;-33.333;35.36;BRELET3S0I01;7;False;2024-07-18;19;;0;0;1719238417000;PUT;1719238417000;28.1;;
ELETG290;ELETROBRAS ON, R$ 28.60, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;28.6;100;BOVESPA;2024-06-22T10:18:39.008Z;2024-06-22T10:18:39.008Z;0.0;34.69;BRELET3G0HZ6;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1688582413000;28.6;;
ELETS290;ELETROBRAS ON, R$ 28.60, 19-07-2024;0.0;0.0;0.0;0.04;0;0;0;0.0;0.0;PUT;2024-07-19;EUROPEAN;28.6;100;BOVESPA;2024-06-22T10:18:38.844Z;2024-06-22T10:18:38.844Z;0.0;34.69;BRELET3S0HZ2;7;False;2024-07-18;19;;0;0;1719234000000;PUT;1719216330000;28.6;;
ELETG295;ELETROBRAS ON, R$ 29.10, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;29.1;100;BOVESPA;2024-06-22T10:18:39.008Z;2024-06-22T10:18:39.008Z;0.0;34.69;BRELET3G0I06;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1688582413000;29.1;;
ELETS295;ELETROBRAS ON, R$ 29.10, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-07-19;EUROPEAN;29.1;100;BOVESPA;2024-06-22T10:18:38.845Z;2024-06-22T10:18:38.845Z;0.0;34.69;BRELET3S0I19;7;False;2024-07-18;19;;0;0;1719239095000;PUT;1688582413000;29.1;;
ELETG300;ELETROBRAS ON, R$ 29.60, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;29.6;100;BOVESPA;2024-06-22T10:18:39.004Z;2024-06-22T10:18:39.004Z;0.0;34.69;BRELET3G0I30;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1688582413000;29.6;;
ELETS300;ELETROBRAS ON, R$ 29.60, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.01;0.2;PUT;2024-07-19;EUROPEAN;29.6;100;BOVESPA;2024-06-22T10:18:38.842Z;2024-06-22T10:18:38.842Z;0.0;34.69;BRELET3S0I27;7;False;2024-07-18;19;;500;500;1719245217000;PUT;1688582413000;29.6;;
ELETG305;ELETROBRAS ON, R$ 30.10, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;30.1;100;BOVESPA;2024-06-22T10:18:39.004Z;2024-06-22T10:18:39.004Z;0.0;34.69;BRELET3G0HW3;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1688582413000;30.1;;
ELETS305;ELETROBRAS ON, R$ 30.10, 19-07-2024;0.0;0.0;0.0;0.07;0;0;0;0.01;0.24;PUT;2024-07-19;EUROPEAN;30.1;100;BOVESPA;2024-06-22T10:18:38.841Z;2024-06-22T10:18:38.841Z;0.0;34.69;BRELET3S0HW9;7;False;2024-07-18;19;;15000;500;1719245217000;PUT;1719216330000;30.1;;
ELETG310;ELETROBRAS ON, R$ 30.60, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;30.6;100;BOVESPA;2024-06-22T10:18:39.002Z;2024-06-22T10:18:39.002Z;0.0;34.69;BRELET3G0HY9;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1688582413000;30.6;;
