symbol;name;open;high;low;close;volume;financial_volume;trades;bid;ask;category;due_date;maturity_type;strike;contract_size;exchange_id;created_at;updated_at;variation;spot_price;isin;security_category;market_maker;block_date;days_to_maturity;quotationForm;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;cnpj;quotation_form;warning
ABEVR110W4;AMBEV S/A ON, R$ 11.00, 28-06-2024;0.02;0.02;0.02;0.02;5000;100;0;0.0;0.02;PUT;2024-06-28;EUROPEAN;11.0;100;BOVESPA;2024-06-22T10:18:38.582Z;2024-06-22T10:18:38.582Z;-50.0;11.28;BRABEV3R0FU3;7;True;2024-06-27;4;;0;100;1719244138000;PUT;1719240935000;11.0;;;
ABEVF115W4;AMBEV S/A ON, R$ 11.50, 28-06-2024;0.03;0.06;0.03;0.06;15500;805;0;0.04;0.06;CALL;2024-06-28;AMERICAN;11.5;100;BOVESPA;2024-06-22T10:18:38.439Z;2024-06-22T10:18:38.439Z;-14.286;11.36;BRABEV3F0FQ5;7;True;2024-06-27;4;;1000;3500;1719244828000;CALL;1719243676000;11.5;;;
ABEVR115W4;AMBEV S/A ON, R$ 11.50, 28-06-2024;0.17;0.18;0.17;0.18;1300;228;0;0.15;0.19;PUT;2024-06-28;EUROPEAN;11.5;100;BOVESPA;2024-06-22T10:18:38.624Z;2024-06-22T10:18:38.624Z;-37.931;11.36;BRABEV3R0FN8;7;True;2024-06-27;4;;6600;6600;1719245300000;PUT;1719242170000;11.5;;;
ABEVF120W4;AMBEV S/A ON, R$ 12.00, 28-06-2024;0.0;0.0;0.0;0.01;0;0;0;0.0;0.01;CALL;2024-06-28;AMERICAN;12.0;100;BOVESPA;2024-06-22T10:18:38.694Z;2024-06-22T10:18:38.694Z;0.0;11.28;BRABEV3F0FN2;7;True;2024-06-27;4;;0;100;1719244138000;CALL;1719216344000;12.0;;;
ABEVR120W4;AMBEV S/A ON, R$ 12.00, 28-06-2024;0.0;0.0;0.0;0.72;0;0;0;0.6;0.66;PUT;2024-06-28;EUROPEAN;12.0;100;BOVESPA;2024-06-22T10:18:38.375Z;2024-06-22T10:18:38.375Z;0.0;11.28;BRABEV3R0FM0;7;True;2024-06-27;4;;6600;6600;1719244138000;PUT;1719216344000;12.0;;;
ABEVF125W4;AMBEV S/A ON, R$ 12.50, 28-06-2024;0.0;0.0;0.0;0.01;0;0;0;0.0;0.01;CALL;2024-06-28;AMERICAN;12.5;100;BOVESPA;2024-06-22T10:18:38.666Z;2024-06-22T10:18:38.666Z;0.0;11.28;BRABEV3F0FP7;7;True;2024-06-27;4;;0;20000;1719244138000;CALL;1719216344000;12.5;;;
ABEVR125W4;AMBEV S/A ON, R$ 12.50, 28-06-2024;0.0;0.0;0.0;1.16;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;12.5;100;BOVESPA;2024-06-22T10:18:38.434Z;2024-06-22T10:18:38.434Z;0.0;11.28;BRABEV3R0FK4;7;False;2024-06-27;4;;0;0;1719234000000;PUT;1719216344000;12.5;;;
ABEVF130W4;AMBEV S/A ON, R$ 13.00, 28-06-2024;0.0;0.0;0.0;0.01;0;0;0;0.0;0.01;CALL;2024-06-28;AMERICAN;13.0;100;BOVESPA;2024-06-22T10:18:38.867Z;2024-06-22T10:18:38.867Z;0.0;11.28;BRABEV3F0FD3;7;True;2024-06-27;4;;0;1100;1719244138000;CALL;1718112660000;13.0;;;
ABEVR130W4;AMBEV S/A ON, R$ 13.00, 28-06-2024;0.0;0.0;0.0;1.75;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;13.0;100;BOVESPA;2024-06-22T10:18:38.925Z;2024-06-22T10:18:38.925Z;0.0;11.28;BRABEV3R0FT5;7;False;2024-06-27;4;;0;0;1719234000000;PUT;1718901664000;13.0;;;
ABEVF135W4;AMBEV S/A ON, R$ 13.50, 28-06-2024;0.0;0.0;0.0;0.01;0;0;0;0.0;0.02;CALL;2024-06-28;AMERICAN;13.5;100;BOVESPA;2024-06-22T10:18:38.848Z;2024-06-22T10:18:38.848Z;0.0;11.28;BRABEV3F0FM4;7;False;2024-06-27;4;;0;300;1719244138000;CALL;1717777900000;13.5;;;
ABEVR135W4;AMBEV S/A ON, R$ 13.50, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;13.5;100;BOVESPA;2024-06-22T10:18:38.921Z;2024-06-22T10:18:38.921Z;0.0;11.28;BRABEV3R0FJ6;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;13.5;;;
ABEVF140W4;AMBEV S/A ON, R$ 14.00, 28-06-2024;0.0;0.0;0.0;0.01;0;0;0;0.0;0.02;CALL;2024-06-28;AMERICAN;14.0;100;BOVESPA;2024-06-22T10:18:38.724Z;2024-06-22T10:18:38.724Z;0.0;11.28;BRABEV3F0FU7;7;False;2024-06-27;4;;0;100;1719244138000;CALL;1717777914000;14.0;;;
ABEVR140W4;AMBEV S/A ON, R$ 14.00, 28-06-2024;0.0;0.0;0.0;2.8;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;14.0;100;BOVESPA;2024-06-22T10:18:38.728Z;2024-06-22T10:18:38.728Z;0.0;11.28;BRABEV3R0FG2;7;False;2024-06-27;4;;0;0;1719234000000;PUT;1718301666000;14.0;;;
ABEVF145W4;AMBEV S/A ON, R$ 14.50, 28-06-2024;0.0;0.0;0.0;0.01;0;0;0;0.0;0.02;CALL;2024-06-28;AMERICAN;14.5;100;BOVESPA;2024-06-22T10:18:39.001Z;2024-06-22T10:18:39.001Z;0.0;11.28;BRABEV3F0FE1;7;False;2024-06-27;4;;0;100;1719244138000;CALL;1717777952000;14.5;;;
ABEVR145W4;AMBEV S/A ON, R$ 14.50, 28-06-2024;0.0;0.0;0.0;3.35;0;0;0;3.0;0.0;PUT;2024-06-28;EUROPEAN;14.5;100;BOVESPA;2024-06-22T10:18:38.794Z;2024-06-22T10:18:38.794Z;0.0;11.28;BRABEV3R0FB3;7;False;2024-06-27;4;;200;0;1719244138000;PUT;1718806017000;14.5;;;
ABEVF150W4;AMBEV S/A ON, R$ 15.00, 28-06-2024;0.0;0.0;0.0;0.01;0;0;0;0.0;0.02;CALL;2024-06-28;AMERICAN;15.0;100;BOVESPA;2024-06-22T10:18:38.893Z;2024-06-22T10:18:38.893Z;0.0;11.28;BRABEV3F0FH4;7;False;2024-06-27;4;;0;100;1719244138000;CALL;1717778092000;15.0;;;
ABEVR150W4;AMBEV S/A ON, R$ 15.00, 28-06-2024;0.0;0.0;0.0;3.79;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;15.0;100;BOVESPA;2024-06-22T10:18:38.513Z;2024-06-22T10:18:38.514Z;0.0;11.28;BRABEV3R0FP3;7;False;2024-06-27;4;;0;0;1719234000000;PUT;1718302187000;15.0;;;
ABEVF155W4;AMBEV S/A ON, R$ 15.50, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;15.5;100;BOVESPA;2024-06-22T10:18:38.871Z;2024-06-22T10:18:38.871Z;0.0;11.28;BRABEV3F0FR3;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;15.5;;;
ABEVR155W4;AMBEV S/A ON, R$ 15.50, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;15.5;100;BOVESPA;2024-06-22T10:18:38.602Z;2024-06-22T10:18:38.602Z;0.0;11.28;BRABEV3R0FI8;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;15.5;;;
ABEVF160W4;AMBEV S/A ON, R$ 16.00, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;16.0;100;BOVESPA;2024-06-22T10:18:38.370Z;2024-06-22T10:18:38.370Z;0.0;11.28;BRABEV3F0FO0;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;16.0;;;
ABEVR160W4;AMBEV S/A ON, R$ 16.00, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;16.0;100;BOVESPA;2024-06-22T10:18:38.337Z;2024-06-22T10:18:38.337Z;0.0;11.28;BRABEV3R0FQ1;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;16.0;;;
