symbol;name;open;high;low;close;volume;financial_volume;trades;bid;ask;category;due_date;maturity_type;strike;contract_size;exchange_id;created_at;updated_at;variation;spot_price;isin;security_category;market_maker;block_date;days_to_maturity;quotationForm;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;cnpj;lastUpdatedDividendsAt;quotation_form;has_options;warning
VALEF590W4;VALE ON, R$ 59.00, 28-06-2024;2.07;2.07;2.04;2.04;1000;2055;0;0.0;0.0;CALL;2024-06-28;AMERICAN;59.0;100;BOVESPA;2024-06-22T10:18:38.492Z;2024-06-22T10:18:38.492Z;-24.723;60.83;BRVALE3F0OY0;7;False;2024-06-27;4;;0;0;1719244079000;CALL;1719244079000;59.0;;;;;
VALER590W4;VALE ON, R$ 59.00, 28-06-2024;0.15;0.15;0.09;0.09;22800;2401;0;0.1;0.12;PUT;2024-06-28;EUROPEAN;59.0;100;BOVESPA;2024-06-22T10:18:38.410Z;2024-06-22T10:18:38.410Z;-30.769;60.83;BRVALE3R0P04;7;False;2024-06-27;4;;800;21700;1719245133000;PUT;1719243517000;59.0;;;;;
VALEF600W4;VALE ON, R$ 60.00, 28-06-2024;1.21;1.77;0.8;1.17;4000;4434;0;0.7;1.77;CALL;2024-06-28;AMERICAN;60.0;100;BOVESPA;2024-06-22T10:18:38.492Z;2024-06-22T10:18:38.492Z;-10.687;60.83;BRVALE3F0PD1;7;False;2024-06-27;4;;2000;1000;1719245254000;CALL;1719243962000;60.0;;;;;
VALER600W4;VALE ON, R$ 60.00, 28-06-2024;0.38;0.38;0.2;0.25;64600;17860;0;0.24;0.28;PUT;2024-06-28;EUROPEAN;60.0;100;BOVESPA;2024-06-22T10:18:38.409Z;2024-06-22T10:18:38.409Z;-7.407;60.8;BRVALE3R0PH8;7;False;2024-06-27;4;;200;18700;1719245133000;PUT;1719244892000;60.0;;;;;
VALEF610W4;VALE ON, R$ 61.00, 28-06-2024;0.5;0.67;0.5;0.53;22800;12915;0;0.26;0.6;CALL;2024-06-28;AMERICAN;61.0;100;BOVESPA;2024-06-22T10:18:38.700Z;2024-06-22T10:18:38.700Z;-22.059;60.83;BRVALE3F0OZ7;7;False;2024-06-27;4;;1900;100;1719244665000;CALL;1719244665000;61.0;;;;;
VALER610W4;VALE ON, R$ 61.00, 28-06-2024;0.65;0.65;0.4;0.57;2500;1446;0;0.4;0.0;PUT;2024-06-28;EUROPEAN;61.0;100;BOVESPA;2024-06-22T10:18:38.523Z;2024-06-22T10:18:38.523Z;-8.065;60.87;BRVALE3R0P46;7;False;2024-06-27;4;;2800;0;1719244079000;PUT;1719243520000;61.0;;;;;
VALEF620W4;VALE ON, R$ 62.00, 28-06-2024;0.18;0.27;0.18;0.2;80700;16504;0;0.19;0.21;CALL;2024-06-28;AMERICAN;62.0;100;BOVESPA;2024-06-22T10:18:38.849Z;2024-06-22T10:18:38.849Z;-28.571;60.83;BRVALE3F0P66;7;False;2024-06-27;4;;1000;19000;1719245133000;CALL;1719245124000;62.0;;;;;
VALER620W4;VALE ON, R$ 62.00, 28-06-2024;0.0;0.0;0.0;1.2;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;62.0;100;BOVESPA;2024-06-22T10:18:38.731Z;2024-06-22T10:18:38.731Z;0.0;60.83;BRVALE3R0OY6;7;False;2024-06-27;4;;0;0;1719234000000;PUT;1719216318000;62.0;;;;;
VALEF630W4;VALE ON, R$ 63.00, 28-06-2024;0.04;0.09;0.04;0.08;14800;1083;0;0.06;0.09;CALL;2024-06-28;AMERICAN;63.0;100;BOVESPA;2024-06-22T10:18:38.968Z;2024-06-22T10:18:38.968Z;-20.0;60.8;BRVALE3F0OW4;7;False;2024-06-27;4;;22600;800;1719244905000;CALL;1719244905000;63.0;;;;;
VALER630W4;VALE ON, R$ 63.00, 28-06-2024;2.2;2.2;2.2;2.2;1300;2860;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;63.0;100;BOVESPA;2024-06-22T10:18:38.903Z;2024-06-22T10:18:38.903Z;12.821;60.83;BRVALE3R0P20;7;False;2024-06-27;4;;0;0;1719236628000;PUT;1719236474000;63.0;;;;;
VALEF640W4;VALE ON, R$ 64.00, 28-06-2024;0.03;0.04;0.02;0.03;28200;851;0;0.02;0.04;CALL;2024-06-28;AMERICAN;64.0;100;BOVESPA;2024-06-22T10:18:38.415Z;2024-06-22T10:18:38.415Z;-62.5;60.99;BRVALE3F0PL4;7;False;2024-06-27;4;;27300;800;1719244079000;CALL;1719242696000;64.0;;;;;
VALER640W4;VALE ON, R$ 64.00, 28-06-2024;0.0;0.0;0.0;2.73;0;0;0;2.01;0.0;PUT;2024-06-28;EUROPEAN;64.0;100;BOVESPA;2024-06-22T10:18:38.479Z;2024-06-22T10:18:38.479Z;0.0;60.83;BRVALE3R0P12;7;False;2024-06-27;4;;600;0;1719244079000;PUT;1719216318000;64.0;;;;;
VALEF650W4;VALE ON, R$ 65.00, 28-06-2024;0.0;0.0;0.0;0.02;0;0;0;0.01;0.02;CALL;2024-06-28;AMERICAN;65.0;100;BOVESPA;2024-06-22T10:18:38.628Z;2024-06-22T10:18:38.628Z;0.0;60.83;BRVALE3F0P82;7;False;2024-06-27;4;;30300;600;1719244079000;CALL;1719216318000;65.0;;;;;
VALER650W4;VALE ON, R$ 65.00, 28-06-2024;0.0;0.0;0.0;3.56;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;65.0;100;BOVESPA;2024-06-22T10:18:38.695Z;2024-06-22T10:18:38.695Z;0.0;60.83;BRVALE3R0PC9;7;False;2024-06-27;4;;0;0;1719234000000;PUT;1718907980000;65.0;;;;;
VALEF660W4;VALE ON, R$ 66.00, 28-06-2024;0.0;0.0;0.0;0.03;0;0;0;0.01;0.02;CALL;2024-06-28;AMERICAN;66.0;100;BOVESPA;2024-06-22T10:18:38.612Z;2024-06-22T10:18:38.612Z;0.0;60.83;BRVALE3F0OX2;7;False;2024-06-27;4;;4900;100;1719244079000;CALL;1719216318000;66.0;;;;;
VALER660W4;VALE ON, R$ 66.00, 28-06-2024;0.0;0.0;0.0;4.92;0;0;0;4.45;0.0;PUT;2024-06-28;EUROPEAN;66.0;100;BOVESPA;2024-06-22T10:18:38.801Z;2024-06-22T10:18:38.801Z;0.0;60.83;BRVALE3R0PG0;7;False;2024-06-27;4;;200;0;1719245306000;PUT;1719216318000;66.0;;;;;
VALEF670W4;VALE ON, R$ 67.00, 28-06-2024;0.0;0.0;0.0;0.03;0;0;0;0.01;0.02;CALL;2024-06-28;AMERICAN;67.0;100;BOVESPA;2024-06-22T10:18:38.766Z;2024-06-22T10:18:38.766Z;0.0;60.83;BRVALE3F0PF6;7;False;2024-06-27;4;;4900;100;1719244079000;CALL;1718911718000;67.0;;;;;
VALER670W4;VALE ON, R$ 67.00, 28-06-2024;0.0;0.0;0.0;5.88;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;67.0;100;BOVESPA;2024-06-22T10:18:38.964Z;2024-06-22T10:18:38.964Z;0.0;60.83;BRVALE3R0P79;7;False;2024-06-27;4;;0;0;1719234000000;PUT;1719216318000;67.0;;;;;
VALEF680W4;VALE ON, R$ 68.00, 28-06-2024;0.0;0.0;0.0;0.01;0;0;0;0.01;0.02;CALL;2024-06-28;AMERICAN;68.0;100;BOVESPA;2024-06-22T10:18:38.893Z;2024-06-22T10:18:38.893Z;0.0;60.83;BRVALE3F0PC3;7;False;2024-06-27;4;;1500;1000;1719244079000;CALL;1719216318000;68.0;;;;;
VALER680W4;VALE ON, R$ 68.00, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;68.0;100;BOVESPA;2024-06-22T10:18:38.459Z;2024-06-22T10:18:38.459Z;0.0;60.83;BRVALE3R0OX8;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;68.0;;;;;
VALEF690W4;VALE ON, R$ 69.00, 28-06-2024;0.0;0.0;0.0;0.01;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;69.0;100;BOVESPA;2024-06-22T10:18:38.357Z;2024-06-22T10:18:38.357Z;0.0;60.83;BRVALE3F0P41;7;False;2024-06-27;4;;0;0;1719234000000;CALL;1718740466000;69.0;;;;;
VALER690W4;VALE ON, R$ 69.00, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;69.0;100;BOVESPA;2024-06-22T10:18:38.375Z;2024-06-22T10:18:38.375Z;0.0;60.83;BRVALE3R0PE5;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;69.0;;;;;
VALEF700W4;VALE ON, R$ 70.00, 28-06-2024;0.0;0.0;0.0;0.01;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;70.0;100;BOVESPA;2024-06-22T10:18:38.358Z;2024-06-22T10:18:38.358Z;0.0;60.83;BRVALE3F0P25;7;False;2024-06-27;4;;0;0;1719234000000;CALL;1718901856000;70.0;;;;;
VALER700W4;VALE ON, R$ 70.00, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;70.0;100;BOVESPA;2024-06-22T10:18:38.375Z;2024-06-22T10:18:38.375Z;0.0;60.83;BRVALE3R0PA3;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;70.0;;;;;
VALEF710W4;VALE ON, R$ 71.00, 28-06-2024;0.0;0.0;0.0;0.01;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;71.0;100;BOVESPA;2024-06-22T10:18:38.530Z;2024-06-22T10:18:38.530Z;0.0;60.83;BRVALE3F0P33;7;False;2024-06-27;4;;0;0;1719234000000;CALL;1718630748000;71.0;;;;;
VALER710W4;VALE ON, R$ 71.00, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;71.0;100;BOVESPA;2024-06-22T10:18:38.595Z;2024-06-22T10:18:38.595Z;0.0;60.83;BRVALE3R0P87;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;71.0;;;;;
VALEF720W4;VALE ON, R$ 72.00, 28-06-2024;0.0;0.0;0.0;0.01;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;72.0;100;BOVESPA;2024-06-22T10:18:38.857Z;2024-06-22T10:18:38.857Z;0.0;60.83;BRVALE3F0P90;7;False;2024-06-27;4;;0;0;1719234000000;CALL;1718908099000;72.0;;;;;
VALER720W4;VALE ON, R$ 72.00, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;72.0;100;BOVESPA;2024-06-22T10:18:38.799Z;2024-06-22T10:18:38.799Z;0.0;60.83;BRVALE3R0P95;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;72.0;;;;;
VALEF730W4;VALE ON, R$ 73.00, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;73.0;100;BOVESPA;2024-06-22T10:18:39.002Z;2024-06-22T10:18:39.002Z;0.0;60.83;BRVALE3F0OU8;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;73.0;;;;;
VALER730W4;VALE ON, R$ 73.00, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;73.0;100;BOVESPA;2024-06-22T10:18:38.879Z;2024-06-22T10:18:38.879Z;0.0;60.83;BRVALE3R0OU4;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;73.0;;;;;
VALEF740W4;VALE ON, R$ 74.00, 28-06-2024;0.0;0.0;0.0;0.01;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;74.0;100;BOVESPA;2024-06-22T10:18:38.484Z;2024-06-22T10:18:38.484Z;0.0;60.83;BRVALE3F0PK6;7;False;2024-06-27;4;;0;0;1719234000000;CALL;1718117312000;74.0;;;;;
VALER740W4;VALE ON, R$ 74.00, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;74.0;100;BOVESPA;2024-06-22T10:18:38.342Z;2024-06-22T10:18:38.342Z;0.0;60.83;BRVALE3R0PB1;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;74.0;;;;;
VALEF750W4;VALE ON, R$ 75.00, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.82;CALL;2024-06-28;AMERICAN;75.0;100;BOVESPA;2024-06-22T10:18:38.639Z;2024-06-22T10:18:38.639Z;0.0;60.83;BRVALE3F0PH2;7;False;2024-06-27;4;;0;500;1719244079000;CALL;-62167294412000;75.0;;;;;
VALER750W4;VALE ON, R$ 75.00, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;75.0;100;BOVESPA;2024-06-22T10:18:38.559Z;2024-06-22T10:18:38.559Z;0.0;60.83;BRVALE3R0PD7;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;75.0;;;;;
VALEF760W4;VALE ON, R$ 76.00, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;76.0;100;BOVESPA;2024-06-22T10:18:38.804Z;2024-06-22T10:18:38.804Z;0.0;60.83;BRVALE3F0PB5;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;76.0;;;;;
