symbol;name;open;high;low;close;volume;financial_volume;trades;bid;ask;category;due_date;maturity_type;strike;contract_size;exchange_id;created_at;updated_at;variation;spot_price;isin;security_category;market_maker;block_date;days_to_maturity;quotationForm;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;cnpj;lastUpdatedDividendsAt;warning;quotation_form
RENTS405;LOCALIZA ON, R$ 40.67, 19-07-2024;0.55;0.68;0.52;0.65;12100;6637;0;0.6;0.67;PUT;2024-07-19;EUROPEAN;40.67;100;BOVESPA;2024-06-22T10:18:38.509Z;2024-06-22T10:18:38.509Z;-9.722;41.7;BRRENT3S0G48;7;False;2024-07-18;19;;6800;6800;1719245296000;PUT;1719239232000;40.67;;;;
RENTG411;LOCALIZA ON, R$ 41.17, 19-07-2024;0.0;0.0;0.0;1.6;0;0;0;1.98;2.35;CALL;2024-07-19;AMERICAN;41.17;100;BOVESPA;2024-06-22T10:18:38.725Z;2024-06-22T10:18:38.725Z;0.0;41.7;BRRENT3G0G27;7;False;2024-07-18;19;;1000;100;1719243521000;CALL;1719216335000;41.17;;;;
RENTS411;LOCALIZA ON, R$ 41.17, 19-07-2024;0.0;0.0;0.0;1.75;0;0;0;0.76;0.81;PUT;2024-07-19;EUROPEAN;41.17;100;BOVESPA;2024-06-22T10:18:38.509Z;2024-06-22T10:18:38.509Z;0.0;41.7;BRRENT3S0G22;7;False;2024-07-18;19;;7100;7100;1719245287000;PUT;1718909603000;41.17;;;;
RENTG416;LOCALIZA ON, R$ 41.67, 19-07-2024;1.95;2.19;1.95;1.97;21200;45661;0;1.86;1.91;CALL;2024-07-19;AMERICAN;41.67;100;BOVESPA;2024-06-22T10:18:38.725Z;2024-06-22T10:18:38.725Z;23.125;41.7;BRRENT3G0FZ8;7;False;2024-07-18;19;;1300;200;1719245282000;CALL;1719237006000;41.67;;;;
RENTS416;LOCALIZA ON, R$ 41.67, 19-07-2024;0.87;0.96;0.8;0.96;53300;48277;0;0.93;0.99;PUT;2024-07-19;EUROPEAN;41.67;100;BOVESPA;2024-06-22T10:18:38.509Z;2024-06-22T10:18:38.509Z;-28.358;42.4;BRRENT3S0FZ4;7;False;2024-07-18;19;;6100;10000;1719245302000;PUT;1719237942000;41.67;;;;
RENTG420;LOCALIZA ON, R$ 42.17, 19-07-2024;1.64;1.87;1.47;1.57;24900;37610;0;1.57;1.61;CALL;2024-07-19;AMERICAN;42.17;100;BOVESPA;2024-06-22T10:18:38.725Z;2024-06-22T10:18:38.725Z;13.768;42.31;BRRENT3G0G01;7;False;2024-07-18;19;;1300;1300;1719245283000;CALL;1719243525000;42.17;;;;
RENTS420;LOCALIZA ON, R$ 42.17, 19-07-2024;1.06;1.18;0.99;1.17;23100;25455;0;1.13;1.19;PUT;2024-07-19;EUROPEAN;42.17;100;BOVESPA;2024-06-22T10:18:38.509Z;2024-06-22T10:18:38.509Z;-17.606;42.41;BRRENT3S0G06;7;False;2024-07-18;19;;4500;10000;1719245302000;PUT;1719244730000;42.17;;;;
RENTG430;LOCALIZA ON, R$ 42.67, 19-07-2024;1.36;1.57;1.35;1.36;13200;19165;0;1.3;1.34;CALL;2024-07-19;AMERICAN;42.67;100;BOVESPA;2024-06-22T10:18:38.725Z;2024-06-22T10:18:38.725Z;19.298;42.39;BRRENT3G0FP9;7;False;2024-07-18;19;;2600;200;1719245287000;CALL;1719243901000;42.67;16670085000155;2024-04-03T01:30:34.768Z;;
RENTS430;LOCALIZA ON, R$ 42.67, 19-07-2024;1.42;1.5;1.36;1.36;13500;18886;0;1.35;1.55;PUT;2024-07-19;EUROPEAN;42.67;100;BOVESPA;2024-06-22T10:18:38.509Z;2024-06-22T10:18:38.509Z;-24.862;42.4;BRRENT3S0FL4;7;False;2024-07-18;19;;500;1000;1719244793000;PUT;1719243819000;42.67;16670085000155;2024-04-03T01:30:34.768Z;;
RENTG432;LOCALIZA ON, R$ 42.92, 19-07-2024;0.93;1.42;0.93;1.22;28800;33580;0;1.16;1.22;CALL;2024-07-19;EUROPEAN;42.92;100;BOVESPA;2024-06-22T10:18:38.725Z;2024-06-22T10:18:38.725Z;31.183;41.7;BRRENT3G0FX3;7;False;2024-07-18;19;;3000;200;1719245282000;CALL;1719243819000;42.92;16670085000155;2024-04-03T01:30:34.768Z;;
RENTS432;LOCALIZA ON, R$ 42.92, 19-07-2024;1.48;1.48;1.48;1.48;1000;1480;0;1.39;1.68;PUT;2024-07-19;EUROPEAN;42.92;100;BOVESPA;2024-06-22T10:18:38.509Z;2024-06-22T10:18:38.509Z;-24.49;42.36;BRRENT3S0FN0;7;False;2024-07-18;19;;100;1000;1719245296000;PUT;1719238052000;42.92;16670085000155;2024-04-03T01:30:34.768Z;;
RENTG435;LOCALIZA ON, R$ 43.17, 19-07-2024;1.11;1.18;1.1;1.12;6700;7552;0;1.06;1.1;CALL;2024-07-19;AMERICAN;43.17;100;BOVESPA;2024-06-22T10:18:38.725Z;2024-06-22T10:18:38.725Z;28.736;42.41;BRRENT3G0FO2;7;False;2024-07-18;19;;3600;3600;1719245283000;CALL;1719243907000;43.17;16670085000155;2024-04-03T01:30:34.768Z;;
RENTS435;LOCALIZA ON, R$ 43.17, 19-07-2024;0.0;0.0;0.0;3.16;0;0;0;1.47;1.78;PUT;2024-07-19;EUROPEAN;43.17;100;BOVESPA;2024-06-22T10:18:38.509Z;2024-06-22T10:18:38.509Z;0.0;41.7;BRRENT3S0FK6;7;False;2024-07-18;19;;100;1000;1719245296000;PUT;1718909436000;43.17;16670085000155;2024-04-03T01:30:34.768Z;;
RENTG437;LOCALIZA ON, R$ 43.42, 19-07-2024;1.0;1.16;0.92;1.01;10300;10657;0;0.95;0.99;CALL;2024-07-19;EUROPEAN;43.42;100;BOVESPA;2024-06-22T10:18:38.725Z;2024-06-22T10:18:38.725Z;172.973;41.7;BRRENT3G0DP4;7;False;2024-07-18;19;;4700;300;1719245287000;CALL;1719244756000;43.42;16670085000155;2024-04-03T01:30:34.768Z;;
RENTS437;LOCALIZA ON, R$ 43.42, 19-07-2024;0.0;0.0;0.0;2.35;0;0;0;1.67;1.98;PUT;2024-07-19;EUROPEAN;43.42;100;BOVESPA;2024-06-22T10:18:38.509Z;2024-06-22T10:18:38.509Z;0.0;41.7;BRRENT3S0DZ9;7;False;2024-07-18;19;;100;1000;1719245296000;PUT;1719216329000;43.42;16670085000155;2024-04-03T01:30:34.768Z;;
RENTG440;LOCALIZA ON, R$ 43.67, 19-07-2024;0.88;1.03;0.88;1.03;4400;4242;0;0.85;0.89;CALL;2024-07-19;AMERICAN;43.67;100;BOVESPA;2024-06-22T10:18:38.725Z;2024-06-22T10:18:38.725Z;128.889;41.7;BRRENT3G0EV0;7;False;2024-07-18;19;;5000;300;1719245296000;CALL;1719236270000;43.67;16670085000155;2024-04-03T01:30:34.768Z;;
RENTS440;LOCALIZA ON, R$ 43.67, 19-07-2024;0.0;0.0;0.0;3.6;0;0;0;1.77;2.12;PUT;2024-07-19;EUROPEAN;43.67;100;BOVESPA;2024-06-22T10:18:38.510Z;2024-06-22T10:18:38.510Z;0.0;41.7;BRRENT3S0EE2;7;False;2024-07-18;19;;200;1000;1719245266000;PUT;1718909335000;43.67;16670085000155;2024-04-03T01:30:34.768Z;;
