symbol;name;open;high;low;close;volume;financial_volume;trades;bid;ask;category;due_date;maturity_type;strike;contract_size;exchange_id;created_at;updated_at;variation;spot_price;isin;security_category;market_maker;block_date;days_to_maturity;quotationForm;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;cnpj;lastUpdatedDividendsAt;warning
LRENS108;LOJAS RENNERON, R$ 10.87, 19-07-2024;0.04;0.04;0.04;0.04;26300;1052;0;0.04;0.05;PUT;2024-07-19;EUROPEAN;10.87;100;BOVESPA;2024-06-22T10:18:38.346Z;2024-06-22T10:18:38.346Z;-20.0;12.59;BRLREN3S0IF7;7;False;2024-07-18;19;;29600;29600;1719245176000;PUT;1719243022000;10.87;;;
LRENG113;LOJAS RENNERON, R$ 11.37, 19-07-2024;1.57;1.62;1.4;1.4;1200;1775;0;0.0;1.46;CALL;2024-07-19;AMERICAN;11.37;100;BOVESPA;2024-06-22T10:18:38.561Z;2024-06-22T10:18:38.561Z;14.754;12.53;BRLREN3G0IM7;7;False;2024-07-18;19;;0;100;1719245205000;CALL;1719243090000;11.37;;;
LRENS113;LOJAS RENNERON, R$ 11.37, 19-07-2024;0.1;0.11;0.09;0.11;13500;1225;0;0.09;0.11;PUT;2024-07-19;EUROPEAN;11.37;100;BOVESPA;2024-06-22T10:18:38.338Z;2024-06-22T10:18:38.338Z;-15.385;12.53;BRLREN3S0IR2;7;False;2024-07-18;19;;20600;20600;1719245006000;PUT;1719242751000;11.37;;;
LRENG118;LOJAS RENNERON, R$ 11.87, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.8;1.06;CALL;2024-07-19;AMERICAN;11.87;100;BOVESPA;2024-06-22T10:18:38.561Z;2024-06-22T10:18:38.561Z;0.0;12.53;BRLREN3G0IU0;7;False;2024-07-18;19;;1000;300;1719245235000;CALL;1688582413000;11.87;;;
LRENS118;LOJAS RENNERON, R$ 11.87, 19-07-2024;0.22;0.22;0.17;0.19;16300;3361;0;0.19;0.22;PUT;2024-07-19;EUROPEAN;11.87;100;BOVESPA;2024-06-22T10:18:38.338Z;2024-06-22T10:18:38.338Z;-13.636;12.67;BRLREN3S0IM3;7;True;2024-07-18;19;;130800;20200;1719245102000;PUT;1719240758000;11.87;;;
LRENG123;LOJAS RENNERON, R$ 12.37, 19-07-2024;0.79;0.83;0.75;0.75;136200;111397;0;0.67;0.71;CALL;2024-07-19;AMERICAN;12.37;100;BOVESPA;2024-06-22T10:18:38.561Z;2024-06-22T10:18:38.561Z;13.636;12.53;BRLREN3G0IV8;7;True;2024-07-18;19;;15000;15000;1719245205000;CALL;1719242244000;12.37;;;
LRENS123;LOJAS RENNERON, R$ 12.37, 19-07-2024;0.34;0.38;0.32;0.38;24900;8197;0;0.36;0.4;PUT;2024-07-19;EUROPEAN;12.37;100;BOVESPA;2024-06-22T10:18:38.338Z;2024-06-22T10:18:38.338Z;-9.524;12.53;BRLREN3S0IG5;7;True;2024-07-18;19;;130800;15000;1719245210000;PUT;1719244070000;12.37;;;
LRENG128;LOJAS RENNERON, R$ 12.87, 19-07-2024;0.44;0.57;0.41;0.45;78800;39633;0;0.42;0.46;CALL;2024-07-19;AMERICAN;12.87;100;BOVESPA;2024-06-22T10:18:38.561Z;2024-06-22T10:18:38.561Z;7.143;12.58;BRLREN3G0IJ3;7;True;2024-07-18;19;;15000;15000;1719245180000;CALL;1719242751000;12.87;;;
LRENS128;LOJAS RENNERON, R$ 12.87, 19-07-2024;0.67;0.67;0.53;0.6;10200;5718;0;0.6;0.64;PUT;2024-07-19;EUROPEAN;12.87;100;BOVESPA;2024-06-22T10:18:38.338Z;2024-06-22T10:18:38.338Z;-7.692;12.62;BRLREN3S0IT8;7;True;2024-07-18;19;;15000;15000;1719245205000;PUT;1719242601000;12.87;;;
LRENG133;LOJAS RENNERON, R$ 13.37, 19-07-2024;0.32;0.34;0.26;0.26;376400;116834;0;0.25;0.27;CALL;2024-07-19;AMERICAN;13.37;100;BOVESPA;2024-06-22T10:18:38.560Z;2024-06-22T10:18:38.560Z;4.0;12.53;BRLREN3G0IZ9;7;True;2024-07-18;19;;1000;18500;1719245205000;CALL;1719243420000;13.37;;;
LRENS133;LOJAS RENNERON, R$ 13.37, 19-07-2024;0.84;0.95;0.83;0.95;12000;10328;0;0.89;1.02;PUT;2024-07-19;EUROPEAN;13.37;100;BOVESPA;2024-06-22T10:18:38.337Z;2024-06-22T10:18:38.337Z;-4.04;12.59;BRLREN3S0IO9;7;False;2024-07-18;19;;100;100;1719245210000;PUT;1719244070000;13.37;;;
LRENG138;LOJAS RENNERON, R$ 13.87, 19-07-2024;0.18;0.2;0.15;0.15;32500;5658;0;0.13;0.15;CALL;2024-07-19;AMERICAN;13.87;100;BOVESPA;2024-06-22T10:18:38.560Z;2024-06-22T10:18:38.560Z;0.0;12.6;BRLREN3G0IO3;7;True;2024-07-18;19;;15000;18500;1719245279000;CALL;1719245272000;13.87;;;
