symbol;name;open;high;low;close;volume;financial_volume;trades;bid;ask;category;due_date;maturity_type;strike;contract_size;exchange_id;created_at;updated_at;variation;spot_price;isin;security_category;market_maker;block_date;days_to_maturity;quotationForm;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;cnpj;lastUpdatedDividendsAt;quotation_form;warning
PETRR318W4;PETROBRAS PN, R$ 31.80, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;31.8;100;BOVESPA;2024-06-22T10:18:38.637Z;2024-06-22T10:18:38.637Z;0.0;36.72;BRPETR4R1A66;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;31.8;;;;
PETRF330W4;PETROBRAS PN, R$ 32.05, 28-06-2024;0.0;0.0;0.0;3.9;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;32.05;100;BOVESPA;2024-06-22T10:18:38.367Z;2024-06-22T10:18:38.367Z;0.0;36.72;BRPETR4F17Q6;7;False;2024-06-27;4;;0;0;1719234000000;CALL;1718809207000;32.05;;;;
PETRR330W4;PETROBRAS PN, R$ 32.05, 28-06-2024;0.0;0.0;0.0;0.03;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;32.05;100;BOVESPA;2024-06-22T10:18:38.360Z;2024-06-22T10:18:38.360Z;0.0;36.72;BRPETR4R1946;7;False;2024-06-27;4;;0;0;1719234000000;PUT;1718903864000;32.05;;;;
PETRF323W4;PETROBRAS PN, R$ 32.30, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;EUROPEAN;32.3;100;BOVESPA;2024-06-22T10:18:38.579Z;2024-06-22T10:18:38.579Z;0.0;36.72;BRPETR4F19X8;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;32.3;;;;
PETRR323W4;PETROBRAS PN, R$ 32.30, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;32.3;100;BOVESPA;2024-06-22T10:18:38.483Z;2024-06-22T10:18:38.483Z;0.0;36.72;BRPETR4R1A90;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;32.3;;;;
PETRF335W4;PETROBRAS PN, R$ 32.55, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;32.55;100;BOVESPA;2024-06-22T10:18:38.381Z;2024-06-22T10:18:38.381Z;0.0;36.72;BRPETR4F18F7;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;32.55;;;;
PETRR335W4;PETROBRAS PN, R$ 32.55, 28-06-2024;0.0;0.0;0.0;0.04;0;0;0;0.0;0.12;PUT;2024-06-28;EUROPEAN;32.55;100;BOVESPA;2024-06-22T10:18:38.986Z;2024-06-22T10:18:38.986Z;0.0;36.72;BRPETR4R18R7;7;False;2024-06-27;4;;0;1000;1719241985000;PUT;1718890447000;32.55;;;;
PETRF328W4;PETROBRAS PN, R$ 32.80, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;EUROPEAN;32.8;100;BOVESPA;2024-06-22T10:18:38.599Z;2024-06-22T10:18:38.599Z;0.0;36.72;BRPETR4F1A04;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;32.8;;;;
PETRR328W4;PETROBRAS PN, R$ 32.80, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;32.8;100;BOVESPA;2024-06-22T10:18:38.413Z;2024-06-22T10:18:38.413Z;0.0;36.72;BRPETR4R1AD5;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;32.8;;;;
PETRF340W4;PETROBRAS PN, R$ 33.05, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;4.0;CALL;2024-06-28;AMERICAN;33.05;100;BOVESPA;2024-06-22T10:18:38.879Z;2024-06-22T10:18:38.879Z;0.0;36.72;BRPETR4F1817;7;False;2024-06-27;4;;0;200;1719245241000;CALL;-62167294412000;33.05;;;;
